,Store,type,Store_ID
0,NAP's Coffee & Roasters,speedbar,0
178,sangob,speedbar,1
235,SongSarn,slowbar,2
287,LIFE Roasters,"hybrid,bakery",3
542,Nap x Warin,speedbar,4
629,BalconyKiss Coffee,speedbar,5
762,Anna Roasters,"speedbar,bakery",6
995,ROOF COFFEE,"speedbar,bakery",7
1130,11.11 Gallery and Coffee,"hybrid,bakery",8
1156,Abe Specialty Coffee,slowbar,9
1170,Amarna,hybrid,10
1215,Attaroast,"slowbar,bakery",11
1252,BaanHuakham Cafe & Farmstay,"speedbar,bakery,restaurant",12
1313,Blendstorm Coffee Roasters,slowbar,13
1317,Blues Coffee,"speedbar,bakery,restaurant",14
1430,LAVA  JAVA Coffee Roasters,"hybrid,bakery",15
1444,Bossa cafe,speedbar,16
1576,Commune Drink/Talk/Share,"speedbar,bakery",17
1708,GODFATHER COFFEE,"hybrid,bakery",18
1840,Impression Sunrise,"speedbar,bakery,restaurant",19
1925,MiND-K coffee and bake,"slowbar,bakery",20
1979,My Papilio,"bakery,restaurant",21
2243,PENSER CAFE,"speedbar,bakery",22
2269,Phantae Coffee,"speedbar,bakery",23
2474,REDCOFFEE,hybrid,24
2493,Rogue Roasters,slowbar,25
2503,ROSIEHOLM,speedbar,26
2564,r o u n d,speedbar,27
2573,Saereesook,slowbar,28
2673,Snoopcat Cafe,"speedbar,restaurant",29
2769,Stufe coffee,"speedbar,bakery,restaurant",30
2840,Tree Cafe Rim Moon,"hybrid,bakery,restaurant",31
3242,Yuanjai Cafe,"slowbar,bakery",32
