,Store,type,menu coffee,menu non coffee,fillter
0,NAP's Coffee & Roasters,speedbar,"hazelnut latte,vanilla latte,caramel latte,espresso,americano,cappuccino,mocha,latte","Red Plum Sparking,Honey Lemon Sparking,Lychee Sparking,Mint Lime Sparking,Vanilla Milk,Hazelnut Milk,Caramel Milk,Peach Tea,Apple tea,Taro Latte,Thai tea,Lemon tea,matcha,cocoa",
1,sangob,speedbar,"espresso,americano,cappuccino,mocha,latte,cold brew,americano yuzu,iced espresso coconut,latte coconut,latte mint,house blend caramel macchiato","milk caremel,matcha milk,apple tea,peach tea,cocoa mint",
2,SongSarn,slowbar,"espresso,americano,cappuccino,mocha,latte,cold brew","cocoa,matcha,peach tea,vanilla ginger,thai tea,milk careme,jasmine green tea",
3,LIFE Roasters,"hybrid,bakery","sparkling americano,tonic americano,caramel macchiato,coconut cold brew,orange cold brew,lemon honey cold brew,pure cold brew,yuzu honey cold brew,espresso,americano,cappuccino,mocha,latte","Iced cocoa,Iced cocoa mint,Iced matcha latte,Iced green tea latte,Iced ceylon tea latte,Iced yuzu honey soda,Iced matcha coconut,Hot matcha latte,Hot cocoa",
4,Nap x Warin,speedbar,"Espresso Sparkling Yuzu,Lychee Espresso Tonic,Espresso Sparkling Lime,hazelnut latte,vanilla latte,caramel latte,espresso,americano,cappuccino,mocha,latte","Matcha Sparkling Yuzu,Yuzu Black Lemon Tea,Choco Mint,Black Tropicana,Taro Latte,Lemon tea,Thai tea,Cocoa,Matcha",
5,BalconyKiss Coffee,speedbar,"espresso,americano,cappuccino,mocha,latte,long black,macchiato","mixed berry smoothie,strawberry smoothie,blueberry smoothie,kiwi smoothie,milk,fresh milk caremel,vanilla milk,mint milk,matcha,maru matcha,maru matcha soy milk,lemon tea,thai tea,green tea",
6,Anna Roasters,"speedbar,bakery","espresso,americano,cappuccino,mocha,latte,macchiato,late mint","cocoa,matcha,peach tea,thai tea,green tea,apple tea,cocoa mint,lemon tea,jasmine tea",
7,ROOF COFFEE,"speedbar,bakery","espresso,americano,cappuccino,mocha,latte,macchiato","matcha,peach tea,thai tea,green tea,apple tea,lemon tea,jasmine tea,chocolate,white chocolate,mint chocolate,strawberry chocolate,honey lemon soda,peach lemon soda,green apple soda,strawberry lemon soda,blueberry soda",
8,11.11 Gallery and Coffee,"hybrid,bakery","espresso,americano,cappuccino,mocha,latte,cold brew,macchiato","cocoa,matcha,peach tea,thai tea,lemon tea,jasmine tea,fresh milk,mango milk,caramel milk",
9,Abe Specialty Coffee,slowbar,"espresso,americano,cappuccino,mocha,latte,macchiato","cocoa,thai tea,green tea,punch soda,blue hawaii soda,strawbery soda,blueberry soda,lychee soda",
10,Amarna,hybrid,"espresso,americano,cappuccino,mocha,latte,americano orange,americano lemon,americano yuzu,americano peach,cold brew,cold brew milk,cold brew orange,cold brew yuzu,coldbrew peach,cold brew lychee","milk caremel,cocoa,thai tea,peach tea,matcha latte,caramel salted chocolate,honey lemon soda,honey lemon soda yuzu,honey lemon soda peach, matcha honey lemon soda",
11,Attaroast,"slowbar,bakery","espresso,americano,cappuccino,mocha,latte,macchiato,coldbrew,coldbrew orange,coldbrew lemon,coldbrew apple,coldbrew grape","cocoa,matcha,thai tea,fresh milk,cocoa mint,pink milk,milk caramel,honey lemon soda",
12,BaanHuakham Cafe & Farmstay,"speedbar,bakery,restaurant",,,
13,Blendstorm Coffee Roasters,slowbar,,,
14,Blues Coffee,"speedbar,bakery,restaurant",,,
15,LAVA  JAVA Coffee Roasters,"hybrid,bakery",,,
16,Bossa cafe,speedbar,,,
17,Commune Drink/Talk/Share,"speedbar,bakery",,,
18,GODFATHER COFFEE,"hybrid,bakery","espresso,americano,cappuccino,mocha,latte,long black,piccolo,flat white,orange coffee,godfather,the winner,omg!,city of candle,black rose,sanae e-san","matcha latte,matcha honey,matcha orange,hojicha latte,chocolate nutella,thai tea,honey lemon soda,mr.black,the rose garden,pok 9,joker",
19,Impression Sunrise,"speedbar,bakery,restaurant",,,
20,MiND-K coffee and bake,"slowbar,bakery",,,
21,My Papilio,"bakery,restaurant",,,
22,PENSER CAFE,"speedbar,bakery",,,
23,Phantae Coffee,"speedbar,bakery",,,
24,REDCOFFEE,hybrid,,,
25,Rogue Roasters,slowbar,"espresso,americano,cappuccino,mocha,latte,vanilla latte,cappuccino,flat white,piccolo,cold brew,cold brew milk,cold brew yuzu,drip thai orgin,drip import origin,blend","cocoa,matcha,matcha yuzu,thai tea,peach tea,honey lemon soda,yuzu soda,lychee soda",
26,ROSIEHOLM,speedbar,,,
27,r o u n d,speedbar,,,
28,Saereesook,slowbar,,,
30,Snoopcat Cafe,"speedbar,restaurant",,,
31,Stufe coffee,"speedbar,bakery,restaurant",,,
32,Tree Cafe Rim Moon,"hybrid,bakery,restaurant",,,
33,Yuanjai Cafe,"slowbar,bakery","Iced Americano,Iced Latte,Iced Cappuccino,Iced Mocha,Iced Espresso,Dirty,Iced Caramel Macchiato,Iced Espresso Lychee soda,Espresso Tonic,Espresso Peach soda,Yuanjai,Pandanus juice Espresso coffee,Coldcha,Ethiopia drip,Kenya drip","Iced Thai Green Tea,Iced Pink Milk,Iced Thai Tea,Iced Lemonade Tea,Iced Peach Tea,Iced Cocoa,Iced Caramel Milk,Iced Chocolate Milk,Mixberry Milk,Pink lemonade,Lychee Rose Soda,Orange Mixberry Soda",
